Max Stress,Compliance
0.81656,50.679
0.84256,84.7
0.89816,86.671
0.76742,50.785
0.70837,77.718
0.77112,16.158
0.87906,102.89
0.76965,22.962
0.75347,29.295
0.85177,89.151
0.7006,56.291
0.9014,87.662
0.68808,45.434
1.1248,29.466
0.71901,11.238
0.81124,84.834
0.69986,44.743
0.81295,46.399
0.73733,73.887
0.69121,12.971
0.89871,37.057
0.74011,88.181
0.8225,84.103
0.80634,16.641
0.89036,17.708
0.73143,14.909
0.80007,9.9183
0.79618,43.862
0.83168,81.55
0.85171,85.466
0.70677,65.973
0.73584,15.941
0.90251,76.566
0.66145,17.994
0.68453,17.922
0.63806,16.514
0.77743,18.889
0.6295,20.097
0.75492,25.804
0.73216,34.84
0.68332,33.52
0.69382,25.136
0.80604,28.598
0.81157,101.36
0.85274,85.811
0.83803,65.868
0.75399,22.643
0.65744,23.381
0.79532,13.799
0.92155,106.3
0.71979,83.122
0.8439,66.546
0.81598,35.71
0.62421,21.256
0.67444,74.722
0.90594,124.66
0.62418,22.441
0.64537,28.98
0.6506,46.81
0.67795,13.641
0.86302,81.092
0.82709,48.224
0.82568,118.38
0.69262,46.799
0.73775,74.322
0.81935,21.203
0.75756,46.836
0.76692,20.916
0.7363,87.288
0.89156,110.82
0.67987,37.953
0.81878,79.757
0.69248,33.439
0.83676,63.795
0.96071,92.781
0.70802,71.179
0.81564,39.733
0.79671,32.027
0.83715,55.377
0.62708,50.798
0.79719,41.255
0.86731,70.28
0.8302,86.657
0.8248,50.794
0.71661,51.563
0.69931,16.94
0.78255,10.626
0.6369,33.498
0.75758,36.476
0.8361,77.047
1.0573,118.94
0.93716,111.91
0.91922,55.354
0.62868,28.178
0.81853,88.277
0.80254,85.497
0.82085,85.842
1.167,86.174
0.79795,15.493
0.84245,80.821
0.88556,55.507
0.80593,24.866
0.89544,15.115
0.75775,94.014
0.7572,20.757
0.67551,19.488
0.95274,80.697
0.76495,103.15
0.83989,63.852
0.95975,82.995
0.71659,19.769
0.89282,114.2
0.72171,65.037
0.83325,80.39
